Stim,Trigger
50.0,1.0
51.57053795390642,0.0
53.13952597646567,0.0
54.70541566592571,0.0
56.266661678215215,0.0
57.821723252011545,0.0
59.369065729286234,0.0
60.90716206982713,0.0
62.43449435824274,0.0
63.94955530196147,0.0
65.45084971874736,0.0
66.93689601226457,0.0
68.4062276342339,0.0
69.85739453173903,0.0
71.28896457825364,0.0
72.69952498697734,0.0
74.08768370508577,0.0
75.45207078751856,0.0
76.79133974894984,0.0
78.10416889260654,0.0
79.38926261462366,0.0
80.64535268264882,0.0
81.87119948743448,0.0
83.06559326618259,0.0
84.22735529643444,0.0
85.35533905932738,0.0
86.44843137107057,0.0
87.50555348152298,0.0
88.52566213878947,0.0
89.50775061878451,0.0
90.45084971874738,0.0
91.3540287137281,0.0
92.21639627510075,0.0
93.03710135019719,0.0
93.81533400219318,0.0
94.55032620941839,0.0
95.24135262330097,0.0
95.88773128419905,0.0
96.48882429441258,0.0
97.04403844771127,0.0
97.55282581475768,0.0
98.01468428384715,0.0
98.42915805643156,0.0
98.79583809693736,0.0
99.11436253643443,0.0
99.38441702975689,0.0
99.60573506572389,0.0
99.778098230154,0.0
99.90133642141357,0.0
99.97532801828658,0.0
100.0,0.0
99.97532801828658,0.0
99.90133642141357,0.0
99.778098230154,0.0
99.60573506572389,0.0
99.38441702975689,0.0
99.11436253643443,0.0
98.79583809693736,0.0
98.42915805643156,0.0
98.01468428384715,0.0
97.55282581475768,0.0
97.04403844771127,0.0
96.48882429441258,0.0
95.88773128419905,0.0
95.24135262330097,0.0
94.55032620941839,0.0
93.81533400219317,0.0
93.03710135019719,0.0
92.21639627510075,0.0
91.35402871372808,0.0
90.45084971874736,0.0
89.50775061878453,0.0
88.52566213878947,0.0
87.50555348152298,0.0
86.44843137107057,0.0
85.35533905932738,0.0
84.22735529643442,0.0
83.06559326618259,0.0
81.87119948743448,0.0
80.64535268264882,0.0
79.38926261462366,0.0
78.10416889260652,0.0
76.79133974894984,0.0
75.45207078751855,0.0
74.08768370508577,0.0
72.69952498697734,0.0
71.28896457825364,0.0
69.85739453173903,0.0
68.40622763423391,0.0
66.93689601226457,0.0
65.45084971874738,0.0
63.94955530196145,0.0
62.434494358242745,0.0
60.907162069827116,0.0
59.36906572928623,0.0
57.82172325201152,0.0
56.26666167821523,0.0
54.70541566592572,0.0
53.13952597646568,0.0
51.57053795390641,0.0
50.00000000000001,0.0
48.429462046093576,0.0
46.86047402353433,0.0
45.29458433407427,0.0
43.733338321784785,0.0
42.17827674798846,0.0
40.630934270713766,0.0
39.09283793017288,0.0
37.56550564175725,0.0
36.05044469803853,0.0
34.549150281252615,0.0
33.063103987735445,0.0
31.593772365766085,0.0
30.14260546826098,0.0
28.711035421746345,0.0
27.30047501302267,0.0
25.912316294914252,0.0
24.54792921248144,0.0
23.20866025105018,0.0
21.89583110739347,0.0
20.61073738537635,0.0
19.35464731735117,0.0
18.12880051256552,0.0
16.934406733817397,0.0
15.772644703565561,0.0
14.644660940672615,0.0
13.551568628929424,0.0
12.494446518477012,0.0
11.474337861210529,0.0
10.49224938121548,0.0
9.549150281252636,0.0
8.645971286271923,0.0
7.783603724899237,0.0
6.96289864980281,0.0
6.1846659978068175,0.0
5.449673790581613,0.0
4.75864737669901,0.0
4.112268715800951,0.0
3.5111757055874264,0.0
2.955961552288727,0.0
2.447174185242311,0.0
1.9853157161528543,0.0
1.5708419435684533,0.0
1.2041619030626265,0.0
0.8856374635655655,0.0
0.6155829702431177,0.0
0.39426493427610865,0.0
0.2219017698459993,0.0
0.09866357858642516,0.0
0.02467198171341778,0.0
0.0,0.0
0.024671981713424884,0.0
0.09866357858642516,0.0
0.2219017698459993,0.0
0.39426493427610865,0.0
0.6155829702431106,0.0
0.8856374635655726,0.0
1.2041619030626194,0.0
1.5708419435684462,0.0
1.9853157161528472,0.0
2.447174185242318,0.0
2.95596155228872,0.0
3.5111757055874406,0.0
4.112268715800951,0.0
4.758647376699024,0.0
5.449673790581599,0.0
6.184665997806832,0.0
6.962898649802831,0.0
7.783603724899251,0.0
8.645971286271909,0.0
9.549150281252622,0.0
10.492249381215494,0.0
11.474337861210522,0.0
12.494446518477027,0.0
13.551568628929424,0.0
14.644660940672651,0.0
15.772644703565554,0.0
16.93440673381742,0.0
18.12880051256552,0.0
19.354647317351176,0.0
20.610737385376332,0.0
21.895831107393455,0.0
23.208660251050183,0.0
24.54792921248144,0.0
25.912316294914234,0.0
27.300475013022652,0.0
28.711035421746388,0.0
30.14260546826098,0.0
31.593772365766107,0.0
33.06310398773543,0.0
34.549150281252665,0.0
36.05044469803852,0.0
37.565505641757234,0.0
39.09283793017288,0.0
40.630934270713766,0.0
42.17827674798845,0.0
43.73333832178477,0.0
45.2945843340743,0.0
46.86047402353434,0.0
48.42946204609358,0.0
49.999999999999986,0.0
51.57053795390644,0.0
53.139525976465684,0.0
54.70541566592572,0.0
56.26666167821521,0.0
57.82172325201153,0.0
59.369065729286255,0.0
60.907162069827095,0.0
62.434494358242745,0.0
63.94955530196146,0.0
65.45084971874736,0.0
66.93689601226458,0.0
68.40622763423391,0.0
69.85739453173903,0.0
71.28896457825363,0.0
72.69952498697737,0.0
74.08768370508578,0.0
75.45207078751858,0.0
76.79133974894984,0.0
78.1041688926065,0.0
79.38926261462368,0.0
80.64535268264885,0.0
81.87119948743447,0.0
83.06559326618256,0.0
84.22735529643447,0.0
85.35533905932739,0.0
86.44843137107057,0.0
87.50555348152295,0.0
88.5256621387895,0.0
89.50775061878454,0.0
90.45084971874736,0.0
91.35402871372807,0.0
92.21639627510073,0.0
93.03710135019719,0.0
93.81533400219318,0.0
94.55032620941839,0.0
95.24135262330097,0.0
95.88773128419906,0.0
96.48882429441258,0.0
97.04403844771127,0.0
97.55282581475768,0.0
98.01468428384716,0.0
98.42915805643156,0.0
98.79583809693737,0.0
99.11436253643443,0.0
99.38441702975689,0.0
99.60573506572389,0.0
99.778098230154,0.0
99.90133642141357,0.0
99.97532801828658,0.0
100.0,0.0
99.97532801828658,0.0
99.90133642141357,0.0
99.778098230154,0.0
99.60573506572389,0.0
99.38441702975689,0.0
99.11436253643443,0.0
98.79583809693736,0.0
98.42915805643156,0.0
98.01468428384715,0.0
97.55282581475768,0.0
97.04403844771129,0.0
96.48882429441258,0.0
95.88773128419905,0.0
95.24135262330097,0.0
