Designator,Mid X,Mid Y,Rotation,Layer
U10,60.069595,-34.04271,180.0,top
U11,35.810147,-17.289265,270.0,top
U12,32.081396,-38.8445,180.0,top
U13,101.622793,-53.746322,0.0,top
U14,87.890808,-38.846521,180.0,top
U2,69.89,-5.31,270.0,top
U3,70.99003,-9.63557,270.0,top
U4,39.36,-68.65,90.0,top
U5,47.09548,-15.396729,0.0,top
U6,96.284466,-13.184,0.0,top
U7,86.824466,-13.884,0.0,top
U8,33.850379,-20.328644,0.0,top
U9,88.012819,-57.312377,180.0,top
VR1,18.55,-70.825,180.0,top
VR2,7.0,-17.225,180.0,top
VR3,7.0,-45.225,180.0,top
VR4,60.0,-70.825,180.0,top
VR5,95.0,-70.825,180.0,top
VR6,113.0,-29.797,180.0,top
VR7,113.0,-55.425,180.0,top
