Designator,Mid X,Mid Y,Rotation,Layer
._2,59.6,-72.9,0.0,top
.,55.9,-15.6,0.0,top
BZ1,86.5,-11.5,270.0,top
C1,42.4726,-17.5,180.0,top
C2,42.474834,-41.669427,180.0,top
C3,101.31,-11.35,0.0,top
D1,77.0,-10.2615,90.0,top
D10,97.27,-49.414,0.0,top
D11,97.27,-41.869,0.0,top
D12,97.27,-34.324,0.0,top
D13,97.27,-26.779,0.0,top
D2,91.27,-64.504,0.0,top
D3,91.27,-56.959,0.0,top
D4,91.27,-49.414,0.0,top
D5,91.27,-41.869,0.0,top
D6,91.27,-34.324,0.0,top
D7,91.27,-26.779,0.0,top
D8,97.27,-64.504,0.0,top
D9,97.27,-56.959,0.0,top
J1,121.115749,-13.987977,270.0,top
J2,-1.102424,-6.089322,90.0,top
J3,-1.1012,-33.983574,90.0,top
J4,5.978575,-81.099846,180.0,top
J5,113.97716,-81.127383,180.0,top
R1,99.8,-17.3,0.0,top
R10,40.0,-74.4,0.0,top
R11,81.58,-21.1,0.0,top
R2,81.68,-57.1,0.0,top
R3,81.68,-52.6,0.0,top
R4,81.6,-25.6,180.0,top
R5,81.58,-48.1,180.0,top
R6,81.58,-30.1,0.0,top
R7,81.58,-34.6,0.0,top
R8,81.58,-39.1,0.0,top
R9,81.58,-43.6,0.0,top
RV1,7.0,-17.35,270.0,top
RV2,7.0,-45.35,270.0,top
RV3,18.6,-70.95,270.0,top
RV4,76.5,-70.95,270.0,top
RV5,54.119,-70.95,270.0,top
RV6,113.0,-55.55,270.0,top
RV7,113.0,-29.922,270.0,top
SW1,94.11,-71.5,0.0,top
SW2,95.005,-4.1225,0.0,top
SW3,30.005,-4.1225,0.0,top
U1,59.75,-27.9,180.0,top
U2,34.31,-23.89,0.0,top
U3,34.31,-48.015,0.0,top
